track_id,item_id,cluster_5f
0B48113ZG9UfkWWt7qD9xX,126,1
0B6g379TMw0nYGXA7y5xHz,127,1
0B7wvvmu9EISAwZnOpjhNI,128,2
0B8B8cVRFIG1yznoQe7c9s,129,0
0BFQC00Y58JtjMyTXOJazO,130,2
0BGwAKW4u8kWOhWFflZxfl,131,1
0Be7sopyKMv8Y8npsUkax2,132,0
0BnTBAGmr9FtYwkZrwKhwS,133,0
0CBFOvHlyqy30Q5tbyNHfQ,134,1
0CYTGMBYkwUxrj1MWDLrC5,135,0
0CZ8lquoTX2Dkg7Ak2inwA,136,2
0CcQNd8CINkwQfe1RDtGV6,137,0
0CfmNX2TXk7yoJqHJiixnp,138,1
0Clb9aiXWa0dvVff5aN4VN,139,0
0CokSRCu5hZgPxcZBaEzVE,140,1
0CrcwVLUe8wzLUIXgjXVZJ,141,1
0CsR9Y9SnC6ZWmekmVqSHz,142,0
0D8ZpOXVjapLXrjz5VfZSD,143,1
0DGTcMqvVR7fmBXgiG6jz4,144,0
0DJBgBiYeSn6n1AXAkFVE8,145,1
0DMVrlMUn01M0IcpDbwgu7,146,0
0DWdj2oZMBFSzRsi2Cvfzf,147,2
0DZJACISivjWjscIp5Kg1q,148,1
0DiDStADDVh3SvAsoJAFMk,149,0
0Dn40gxVCMo5TkgS8Ik18Q,150,1
0Dq49j3dELbttQVUJbtn0c,151,0
0DuWDLjriRPjDRoPgaCslY,152,2
0E0DRHf5PfMeor0ZCwB3oT,153,2
0E4Y1XIbs8GrAT1YqVy6dq,154,2
0E6PsO3ymCfUh7pJQjBgkj,155,1
0E9ZjEAyAwOXZ7wJC0PD33,156,1
0EPxmvsG1BY5td4aTOkWBF,157,0
0EQMrxdeiBhry9JCxskko3,158,1
0EhpEsp4L0oRGM0vmeaN5e,159,1
0EtuSDTRJYUwlPf4y6coIz,160,0
0F7FA14euOIX8KcbEturGH,161,0
0FA4wrjDJvJTTU8AepZTup,162,1
0FDzzruyVECATHXKHFs9eJ,163,1
0FFsgUoFibYISzMxuGS61W,164,1
0FZ4Dmg8jJJAPJnvBIzD9z,165,0
0FfqyjhB6Kspvit1oOo7ax,166,2
0FktnzDqjClqU6iqOZVEs2,167,0
0Fl4eWzVaMUOdXcOrj6F1q,168,0
0FlfN5cbUUpIHCRH8X1M44,169,1
0FlwhvrncUKrEAhzunmCKm,170,2
0Fpen1PTuEnCmOJtUU9Iud,171,0
0FqBNLXlTNimxmVRdDMj6b,172,2
0FqVtQxRD3HsPltldG5v5M,173,0
0Fs9cdPDhptWEDJmiCbkEW,174,1
0FuTx2s3YH1ppmtiM6l0zI,175,1
0Fv5N0cHBsl4bzCbollCAS,176,1
0G149jkGWKwrPXUGkEDgWM,177,1
0GAyuCo975IHGxxiLKDufB,178,2
0GJwUAlBMJTbY4VE7iE761,179,0
0GMiRrUnQuoGddKMsxGPIZ,180,1
0GQ5bFTVFFKpwNPc7KwQnB,181,1
0GVuLQtPXFaL18ijEOqoAa,182,2
0GjEhVFGZW8afUYGChu3Rr,183,0
0Gl5s8IhMmQE5YQwM8Qx1J,184,2
0GxQ1A5L9xnMOytbP6eKBG,185,1
0GzuHFG4Ql6DoyxFRnIk3F,186,0
0H1Had94fszD13qsFsP1U5,187,1
0H4ugk6rhnXmTl47ayy9O5,188,1
0HC6S4VpCGAZvyxTdrMRIQ,189,1
0HD8mbiPjp3o94X3EaZp0o,190,0
0HEmnAUT8PHznIAAmVXqFJ,191,0
0HEytGQM3bG1vKxER7IgVK,192,2
0HUTL8i4y4MiGCPId7M7wb,193,1
0HVv5bEOiI9a0QfgcASXpX,194,0
0HYAsQwJIO6FLqpyTeD3l6,195,1
0HZgYFimoJG9Ijy8InUWcV,196,2
0HqZX76SFLDz2aW8aiqi7G,197,0
0I20rLT2MJDhcF96AjbNYo,198,0
0IGUXY4JbK18bu9oD4mPIm,199,0
0Ie5uiv54KgCr7P4sYDTHl,200,2
0IpnZchq8ek2A6pGEP2Qb1,201,1
0IqKeD8ZSP72KbGYyzEcAs,202,2
0IuVhCflrQPMGRrOyoY5RW,203,0
0J9g1MMJDhyvOb3NWckHMm,204,0
0JP9xo3adEtGSdUEISiszL,205,0
0JXXNGljqupsJaZsgSbMZV,206,1
0JcNysfWVWaMS7R6vzGB2k,207,0
0JdkDCdrhMOaeXjIZdeBXN,208,0
0JiVRyTJcJnmlwCZ854K4p,209,1
0Jlcvv8IykzHaSmj49uNW8,210,2
0JmnkIqdlnUzPaf8sqBRs3,211,0
0JoWBcL61YWLXM5vW0YTHO,212,1
0JzG1wJuB4v9UPkSE7LMXi,213,2
0KAzP1Rbp0Vz5pw8i1KDDI,214,2
0KCSJzsQVxkloxoT7dyrqV,215,0
0KKkJNfGyhkQ5aFogxQAPU,216,0
0Kdj7nwaYQmvhxnqZaIQuW,217,0
0KkIkfsLEJbrcIhYsCL7L5,218,0
0KoiMHhqKLoL4xM54rcWYY,219,0
0L7loeTIg6akW84aEQZpCT,220,0
0L87MffumRNWrY2SNUFcvs,221,0
0L8LOav65XwLjCLS11gNPD,222,0
0LEFmgIj8ABU7CelzGh5Bs,223,0
0LMwmV37RCmBO2so0szAFs,224,0
0LQ1J0BCzA2qnAgp9MkkNE,225,0
0LThjFY2iTtNdd4wviwVV2,226,0
0Li1OuXXfi7950ilZUFGkF,227,1
0Lmbke3KNVFXtoH2mMSHCw,228,1
0LnS7aOdOdI1dNKZqdOLz4,229,1
0Lsis3LB0XAK6XlTHXaJk2,230,0
0LtVx5vsq9nfpGsWgjUin6,231,2
0Lw6aQcBFWTQ9m4MSwwwes,232,0
0MMyJUC3WNnFS1lit5pTjk,233,0
0MWiSBKm8Avs8iDIxcertp,234,1
0McI9sOmkpfd4E72njtU0G,235,2
0MrRAUcB8AZiB9ue2VOBYe,236,1
0Mrnt1YqVuW2bqmwu4VxDt,237,1
0N9C80kcgL0xXGduKnYKWi,238,0
0NBgyml7T0IvUNbXIkcSpH,239,0
0NRHj8hDwwmSPaA41o379r,240,1
0NTMtAO2BV4tnGvw9EgBVq,241,1
0NZPBYD5qbEWRs3PrGiRkT,242,1
0Nhu3zSYbEz32IYiobV75e,243,1
0NiXXAI876aGImAd6rTj8w,244,0
0NwGC0v03ysCYINtg6ns58,245,0
0O6u0VJ46W86TxN9wgyqDj,246,1
0OEe83mMZ5kaNw5uZQ7ilG,247,2
0OgGn1ofaj55l2PcihQQGV,248,2
0OlnLZY4cmQzT6ZGttvWBM,249,2
0OoNzMdPSgbkM5MkcuEZfm,250,2
0Oqc0kKFsQ6MhFOLBNZIGX,251,2
0OwX5aROoW1Iip8FV51Efg,252,0
0OyQns5ayNK2OVaES0Vb8t,253,1
0P6AWOA4LG1XOctzaVu5tt,254,0
0PAcdVzhPO4gq1Iym9ESnK,255,2
0PB0O24JqAuNdOAFVJljMS,256,1
0PDUDa38GO8lMxLCRc4lL1,257,1
0PG9fbaaHFHfre2gUVo7AN,258,0
0PKpNkxX3FkcfgxCQUXXds,259,2
0PQsrLxPbOBBwwmXCnGvcF,260,0
0PZ04XgQ14FmKZBg3Gxlhr,261,1
0PurA4JVJ8YQgSVopY8fn6,262,2
0PvFJmanyNQMseIFrU708S,263,1
0Q2n5yzl2XRqYbV77tZNYp,264,0
0Q5VnK2DYzRyfqQRJuUtvi,265,0
0QBzMgT7NIeoCYy3sJCof1,266,0
0QHEIqNKsMoOY5urbzN48u,267,0
0QIjsbm2fh1cJ45XO9eGqq,268,1
0QPRDC97rIQB3Jh3hrVJoH,269,1
0QS5rZpm5zN9wV9lJgjyUE,270,0
0QV16pno66L6K3fn4W13b7,271,0
0QglpM23kl9ldvVdoYNZwF,272,0
0Qh38w01QRXK6KHIv0e3hb,273,1
0QosomGFiJYOxj2ViZfqng,274,1
0QsvXIfqM0zZoerQfsI9lm,275,1
0QwKxajohg1rAMMmv1AWe1,276,1
0R6Jlsq25eZB3Wftpxi3oF,277,2
0R6NfOiLzLj4O5VbYSJAjf,278,0
0RAvy97QRPzO2AfK5Dw6j3,279,1
0RFFFGtPn6a58RHY3ccVYX,280,2
0RLLvYBopDwooCyvnTwgYu,281,1
0RTzJVkunbGwuRjXDFHnjf,282,0
0RUTnY2B3s05fZuCHsNaUP,283,0
0RYHqnmtNRfbYxP6Dn8Vse,284,0
0RbW8kWozrVSIGb4V13o0o,285,1
0RiRZpuVRbi7oqRdSMwhQY,286,0
0RoA7ObU6phWpqhlC9zH4Z,287,2
0Rx0DJI556Ix5gBny6EWmn,288,0
0Ryd8975WihbObpp5cPW1t,289,0
0SCMVUZ21uYYB8cc0ScfbV,290,0
0SErdEdRcVX1uJCf1eTGYH,291,2
0SGkqnVQo9KPytSri1H6cF,292,1
0STK94RxUulYqWzwFlyAb5,293,2
0SVsEdvot6vU4byv5yW0oj,294,1
0SfG57HqtBNqKN9O27fo1s,295,1
0So2sgVa8aJiARPl2P29u2,296,2
0SqqAgdovOE24BzxIClpjw,297,1
0SuG9kyzGRpDqrCWtgD6Lq,298,2
0SvxydoxEEkXt9aMAqTfpB,299,1
0T2pB7P1VdXPhLdQZ488uH,300,1
0T5iIrXA4p5GsubkhuBIKV,301,2
0T6RSXxFhW8dRTWHI604ld,302,0
0TCnOEVeLQMXOUrpPlM7uY,303,1
0TK2YIli7K1leLovkQiNik,304,0
0TlLq3lA83rQOYtrqBqSct,305,1
0TrPqhAMoaKUFLR7iYDokf,306,0
0TvQLMecTE8utzoNmvXRbK,307,1
0TyUOnU4H4GLqOcrH0auc8,308,0
0U1W2LZVUX7qTm7dDpqxh6,309,0
0U6Vg6RUmzADUO0Y9fVKft,310,1
0U6bQIAh6MCGo1xjbIIx2S,311,0
0U9CZWq6umZsN432nh3WWT,312,0
0UKUfxIkDAMZz7hMdiVX3m,313,1
0UTHr20nqVFMoji8xYE9yl,314,2
0UTyLmkQgPOEIz95OVAJTR,315,1
0UbesRsX2TtiCeamOIVEkp,316,0
0UeYCHOETPfai02uskjJ3x,317,1
0UioblV1x795s55Ur58c6c,318,1
0UnTaVkntyh3vqvLEvbpQx,319,0
0Uv5Kp8sEnriJjkX4oLfNI,320,2
0UvZcEfpzVyx47QsRbjyBz,321,0
0UwQTbq7ZtBJ7v530mpaxP,322,0
0UyljEbX9dqI1K0sqdv6B6,323,2
0V3wPSX9ygBnCm8psDIegu,324,1
