track_id,track_name,artist_names,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,cover_url,cover_url_md,album_name,release_date,spotify_url,preview_url,item_id
6zrJLhslleCHby0wbUnvVy,future nostalgia,dua lipa,0.8682634730538924,0.8180314309346567,0.0368052609249045,0.0062097754120813,0.0,0.3147393711480205,0.8705263157894736,0.8329535349044019,0.4127896782930972,https://i.scdn.co/image/ab67616d0000b273c88bae7846e62a8ba59ee0bd,https://i.scdn.co/image/ab67616d00001e02c88bae7846e62a8ba59ee0bd,Future Nostalgia,2020-03-27,https://open.spotify.com/track/6zrJLhslleCHby0wbUnvVy,,4999
6zzdyvVWjGrQBraSvuqJPY,starry eyes,the weeknd,0.1904191616766467,0.4096360628618692,0.008273228680526,0.4678028094116246,7.95383001049318e-05,0.2875796511020579,0.12,0.7184582036460649,0.5290963065072944,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,https://i.scdn.co/image/ab67616d00001e024ab2520c2c77a1d66b9ee21d,Dawn FM,2022-01-06,https://open.spotify.com/track/6zzdyvVWjGrQBraSvuqJPY,,5000
704LUEih663hiE3CnyUrFW,sejodioto,karol g,0.8047904191616767,0.7384201819685691,0.1344929995757318,0.1579413071408881,0.000819517313746,0.0575577144050976,0.6810526315789474,0.8477656736327256,0.7812139130224489,https://i.scdn.co/image/ab67616d0000b273aa3bbf26a1ff6343348f501d,https://i.scdn.co/image/ab67616d00001e02aa3bbf26a1ff6343348f501d,SEJODIOTO,2021-09-21,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW,,5001
70AYiGbc4mWZGEqiipBBDb,candy,rosala,0.584431137724551,0.4840777502067824,0.2151039456936784,0.8903412215989926,0.0121720881427072,0.1423796093178732,0.3905263157894737,0.7989384170742552,0.805246706449253,https://i.scdn.co/image/ab67616d0000b273ac8367a27c0eb7195dc3a58d,https://i.scdn.co/image/ab67616d00001e02ac8367a27c0eb7195dc3a58d,MOTOMAMI,2022-03-18,https://open.spotify.com/track/70AYiGbc4mWZGEqiipBBDb,,5002
70LLyzO7jT6DsQvCwwHDch,mi debilidad,maria becerra,0.7065868263473055,0.6484698097601324,0.0391387356809503,0.1730319647190083,0.0002486883525708,0.0953724015460148,0.6452631578947369,0.8386505113383725,0.2859872187860869,https://i.scdn.co/image/ab67616d0000b273f02f638713c86416ad2b3e90,https://i.scdn.co/image/ab67616d00001e02f02f638713c86416ad2b3e90,Mi Debilidad,2021-07-29,https://open.spotify.com/track/70LLyzO7jT6DsQvCwwHDch,,5003
70LcF31zb1H0PyJoS1Sx1r,creep,radiohead,0.4371257485029941,0.4220430107526881,0.0148493848112006,0.0097510497237469,0.0001395592864637,0.1141752846547582,0.0757894736842105,0.6819697643397065,0.272831153755464,https://i.scdn.co/image/ab67616d0000b273ec548c00d3ac2f10be73366d,https://i.scdn.co/image/ab67616d00001e02ec548c00d3ac2f10be73366d,Pablo Honey,1993-02-22,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,,5004
70khXICDeTTxgYtw3EysKH,sweetener,ariana grande,0.6838323353293414,0.4520264681555004,0.0093338990241832,0.2494912964481511,0.0,0.200877467878408,0.4505263157894736,0.7799855491329479,0.4425419742561926,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,https://i.scdn.co/image/ab67616d00001e02c3af0c2355c24ed7023cd394,Sweetener,2018-08-17,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH,,5005
70lnL3QaSOIIyMa2X9aVRL,perro fiel feat nicky jam,shakira nicky jam,0.7185628742514971,0.7632340777502068,0.185405176071277,0.1881226222971286,0.0,0.0366656220620495,0.9063157894736842,0.8236716318363717,0.8288986027726892,https://i.scdn.co/image/ab67616d0000b273eec120f35546507f59f05c41,https://i.scdn.co/image/ab67616d00001e02eec120f35546507f59f05c41,El Dorado,2017-05-26,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,,5006
70pwY1UfPmSVE3ybPjFy0p,worst day,future,0.5940119760479043,0.5947063688999172,0.4007212558336869,0.1106572467294445,0.0,0.0794944113652982,0.5978947368421053,0.7900733659404179,0.2526496532627162,https://i.scdn.co/image/ab67616d0000b273f1642668ede5282fe3de39de,https://i.scdn.co/image/ab67616d00001e02f1642668ede5282fe3de39de,WORST DAY,2022-02-11,https://open.spotify.com/track/70pwY1UfPmSVE3ybPjFy0p,,5007
70rFIfYN7lU6iTgUIVP42w,my exs best friend with blackbear,mgk blackbear,0.6922155688622755,0.685690653432589,0.0213194739075095,0.0039260558985924,0.0,0.1382011908492635,0.3136842105263158,0.8164461983103601,0.472892822810295,https://i.scdn.co/image/ab67616d0000b273364778383730b88ff4baf4ee,https://i.scdn.co/image/ab67616d00001e02364778383730b88ff4baf4ee,my ex's best friend (with blackbear),2020-08-07,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,,5008
