item_id,track_id,track_name,artist_names,danceability,energy,valence,acousticness,tempo,cover_url,cover_url_md,spotify_url,cluster_5f
1250,1YscJ7yVTlFxW3eF6pv5ba,allergic,post malone,0.6167664670658685,0.7435897435897436,0.5663157894736841,0.154923175625264,0.5940181016813886,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,https://i.scdn.co/image/ab67616d00001e029478c87599550dd73bfa7e02,https://open.spotify.com/track/1YscJ7yVTlFxW3eF6pv5ba,0
1251,1YzlPeHWPU0JeM0u4ya5zj,90min,salmo,0.6766467065868265,0.67535153019024,0.5294736842105263,0.0352039588388431,0.456508201379694,https://i.scdn.co/image/ab67616d0000b27395e3721bd64c3f7fc0328906,https://i.scdn.co/image/ab67616d00001e0295e3721bd64c3f7fc0328906,https://open.spotify.com/track/1YzlPeHWPU0JeM0u4ya5zj,0
1252,1ZDmxwg7Lywlx68b7SsJjj,megatron,nicki minaj,0.8898203592814372,0.6401985111662531,0.7778947368421053,0.1287660358231888,0.2859690808287836,https://i.scdn.co/image/ab67616d0000b273fedde81755f7d593560af9f3,https://i.scdn.co/image/ab67616d00001e02fedde81755f7d593560af9f3,https://open.spotify.com/track/1ZDmxwg7Lywlx68b7SsJjj,0
1253,1ZEm9cJC05rawV2tptNfTS,bed feat ariana grande,nicki minaj ariana grande,0.525748502994012,0.7156741108354011,0.4084210526315789,0.0554254399935243,0.434664054800815,https://i.scdn.co/image/ab67616d0000b273c18e23ba6e8a2c56a41b8c1d,https://i.scdn.co/image/ab67616d00001e02c18e23ba6e8a2c56a41b8c1d,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS,1
1254,1ZMGp9MTXbtAPvcKa0U3zS,brividi,mahmood blanco,0.4467065868263474,0.6122828784119106,0.3263157894736842,0.4507000641564216,0.460970138876293,https://i.scdn.co/image/ab67616d0000b27340c172c54696d8e6028c019f,https://i.scdn.co/image/ab67616d00001e0240c172c54696d8e6028c019f,https://open.spotify.com/track/1ZMGp9MTXbtAPvcKa0U3zS,2
1255,1ZMiCix7XSAbfAJlEZWMCp,falling,harry styles,0.4994011976047904,0.2535153019023987,0.0286315789473684,0.8440632050260904,0.3826685771981692,https://i.scdn.co/image/ab67616d0000b27325180571abce9472f61bd722,https://i.scdn.co/image/ab67616d00001e0225180571abce9472f61bd722,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2
1256,1ZPWWSwCkxKfqdp4H0RFCo,roxanne,arizona zervas,0.5640718562874253,0.5988420181968569,0.4473684210526315,0.0525079128617543,0.4233217855005169,https://i.scdn.co/image/ab67616d0000b273ddc13f28d77135b7151d735c,https://i.scdn.co/image/ab67616d00001e02ddc13f28d77135b7151d735c,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo,1
1257,1ZPpGPko8oULTmi34rozMh,trivia   seesaw,bts,0.6670658682634731,0.7952853598014888,0.68,0.1820863592658805,0.3643734242649593,https://i.scdn.co/image/ab67616d0000b2736feb6d9ed7891f40e9a524dd,https://i.scdn.co/image/ab67616d00001e026feb6d9ed7891f40e9a524dd,https://open.spotify.com/track/1ZPpGPko8oULTmi34rozMh,0
1258,1ZY1PqizIl78geGM4xWlEA,gorgeous,taylor swift,0.7784431137724552,0.5306038047973533,0.4410526315789473,0.0717233501778942,0.2739375691509622,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b,https://open.spotify.com/track/1ZY1PqizIl78geGM4xWlEA,1
1259,1ZdhOMWyFR8Iv9eylMGYg2,mount everest,labrinth,0.4119760479041917,0.4199751861042183,0.4294736842105263,0.2374187703856549,0.2479216923923361,https://i.scdn.co/image/ab67616d0000b273e4c03429788f0aff263a5fc6,https://i.scdn.co/image/ab67616d00001e02e4c03429788f0aff263a5fc6,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2,1
